Human Timestamp,Unix Time,Microseconds,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,IMU Temperature,Pressure,Pressure Temperature
Thu Nov 12 00:12:49 IST 2020,1605120169,650022,0.044942226,0.19017968,-9.802335,-0.16232823000753557,-0.2300705015416667,0.40802965741027186,1282.0588,-414.73193,529.58057,39.747295,98472.97,41.545
Thu Nov 12 00:12:49 IST 2020,1605120169,700309,0.041870635,0.18933849,-9.776451,-0.13321220553601595,-0.2532792946138931,0.4601529938598763,1281.7947,-413.38086,529.6103,39.759808,98469.45,41.545
Thu Nov 12 00:12:49 IST 2020,1605120169,750022,0.03255598,0.16745627,-9.807538,-0.24711806555484,-0.24481094148969587,0.4075098041234431,1281.907,-414.369,529.52576,39.747528,98470.97,41.55
Thu Nov 12 00:12:49 IST 2020,1605120169,800011,0.047001228,0.1732912,-9.788381,-0.16614289065898769,-0.26982575041495976,0.41914191984393795,1281.0509,-414.39612,529.3561,39.75835,98470.67,41.55
Thu Nov 12 00:12:49 IST 2020,1605120169,850152,0.034472626,0.16769814,-9.808346,-0.18467063255629354,-0.23790328659084656,0.43032108018597476,1281.3375,-414.45663,529.2651,39.764774,98468.79,41.55
Thu Nov 12 00:12:49 IST 2020,1605120169,900024,0.015981838,0.19570485,-9.810687,-0.27143691614917503,-0.23373713681560648,0.4036578430500236,1281.7637,-419.42572,529.1937,39.749355,98468.56,41.55
Thu Nov 12 00:12:49 IST 2020,1605120169,950009,0.027918257,0.18913005,-9.787941,-0.17871762940318736,-0.2360856973617154,0.3860221807765645,1281.0983,-414.68457,529.6662,39.751114,98469.58,41.55
Thu Nov 12 00:12:50 IST 2020,1605120170,41,0.03209697,0.17906424,-9.8190775,-0.2233182144736875,-0.24807446279337103,0.40785973748192006,1281.7487,-414.7656,529.73175,39.76391,98471.55,41.55
Thu Nov 12 00:12:50 IST 2020,1605120170,50010,0.026597774,0.23040923,-9.803076,-0.19976185963644594,-0.2785001855246145,0.46643479473052785,1281.4833,-414.22955,529.90027,39.752117,98469.586,41.55
Thu Nov 12 00:12:50 IST 2020,1605120170,100270,0.043612137,0.1721693,-9.818714,-0.12635904985491903,-0.23128936777180317,0.39157425182539096,1281.6904,-413.5569,529.60364,39.753883,98467.94,41.55
Thu Nov 12 00:12:50 IST 2020,1605120170,150022,0.05035317,0.17472024,-9.802017,-0.20942534408341382,-0.2407778286212895,0.4183958355136002,1281.0311,-415.03,529.9197,39.75264,98473.16,41.55
